"","mu0","sex"
"telomere",35.0867978605635,3.53873103759061
"dnamage_horvath",127.12994777576,-4.6285305227569
"dnamage_hannum",130.018355132769,-4.77977418634896
"dnamage_pheno",133.986506004514,-4.13289848652771
"dnamage_grim",136.318050247011,-6.00654883776478
"physio_age",148.794954949515,-4.28155247450564
"cognition",-121.744894966565,10.3249774103169
"fai",189.765502668535,-3.75170033538423
