"","mu0","sex"
"telomere",23.6743717547278,2.64302393139141
"dnamage_horvath",37.5122299010615,4.00913242488561
"dnamage_hannum",35.0524905616601,3.80881602927405
"dnamage_pheno",40.5408428308229,4.33321087508487
"dnamage_grim",37.2026979381493,4.07031036726248
"physio_age",43.0775320743126,4.62021649528488
"cognition",107.320542812482,12.0988350176254
"fai",81.58811687073,9.25583166201324
