"","telomere","dnamage_horvath","dnamage_hannum","dnamage_pheno","dnamage_grim","physio_age","cognition","fai"
"telomere",0.004169429024216,0.00347924806972498,0.00606875064881145,0.00416463804319154,0.00651469337557405,0.00403409632899239,0.00416263664117594,0.00363230718790399
"dnamage_horvath",0.00348084737644673,0.00637226694169593,0.00703756782703426,0.00504799474439927,0.00722256384232615,0.00435034953927508,0.00404132410717157,0.00442552058323638
"dnamage_hannum",0.00258010541351691,0.00362483082992683,0.0114314560146179,0.00438706798309815,0.00766124071507509,0.00367250748366271,0.00308215294980266,0.00360841459681445
"dnamage_pheno",0.00385159561456305,0.00598187586167482,0.00831569662826571,0.00671168843219107,0.00939468401747958,0.00518839770811291,0.0042651075187661,0.00483322483308333
"dnamage_grim",0.00143609316365888,0.00227289918991976,0.00318423664310028,0.00235391573420983,0.00389038769294204,0.002432347028789,0.00187567813226149,0.00239283710355755
"physio_age",0.00184510812074664,0.00326187322386551,0.00376392663815693,0.00341992563741981,0.0045020697611266,0.00316861335661358,0.00211465996950674,0.00211856633341219
"cognition",0.00181031569284462,0.00314886891325496,0.00369979002184636,0.00245981022417048,0.00438460609799111,0.002456615603357,0.00212712567223785,0.00225288029377511
"fai",0.00358172602760058,0.0069502159140171,0.00884164988735121,0.00543941255412482,0.0107807357749247,0.00485840447088086,0.00418315364766503,0.00505854593038076
