"","(Intercept)","pre_urea","total_co2","calcium","pre_creatinine","phosphate","albumin"
"r2_005",0.0368161013626628,0.00152923899915244,0,0,0,0,0
"r2_007",0.112825835385414,0.00162745680401767,0.00400812083103511,0,0,0,0
"r2_009",0.162618905986043,0.00162874612648032,0.00402924334062431,0.0584715629972194,0,0,0
"r2_010",0.164369018263843,0.00183478184680062,0.00409163369611043,0.0593881535965649,4.90002194843582e-05,0,0
"r2_011",0.170346704026279,0.00186673133195402,0.00413899679679547,0.0594599586874377,4.98919025959684e-05,0.0225046888368884,0
"r2_011",0.183187979337315,0.0018871186797614,0.00417748638923643,0.0608708018391682,5.13074915272579e-05,0.0227090441980815,0.0027112149683084
