"","(Intercept)","phosphate","total_co2","albumin","pre_urea","pre_creatinine","calcium"
"r2_037",1.25601445029407,-1.55808415270531,0,0,0,0,0
"r2_045",4.68350012377637,-1.72626897742257,-0.132354757982346,0,0,0,0
"r2_047",6.22105210088815,-1.71859475679339,-0.132393494784804,-0.0445090096749485,0,0,0
"r2_051",5.19281921850628,-1.88325033241431,-0.108347381237692,-0.0517999886373168,0.0430127865220248,0,0
"r2_050",5.35143093461765,-1.92960976791992,-0.111222733103654,-0.0599811168982753,0.0335836727393721,0.000601132871690877,0
"r2_050",4.87738952060026,-1.92584426745052,-0.112825810568785,-0.0623348556465587,0.0334504819424187,0.000583845025681531,0.268028301905644
