"","(Intercept)","total_co2","pre_urea","calcium","phosphate","albumin","pre_creatinine"
"r2_039",0.0698589636580031,0.00293084867956018,0,0,0,0,0
"r2_042",0.0854082954250115,0.00302678178128787,0.00126562390612873,0,0,0,0
"r2_043",0.123159868714018,0.00304495545786534,0.00126513376270697,0.0441327709934163,0,0,0
"r2_044",0.129123025878816,0.0030837734933651,0.00132638763945732,0.0442554181839113,0.016486429150602,0,0
"r2_044",0.136530253121247,0.00310534146890698,0.00134843802998846,0.045517846280965,0.0165648892008414,0.00195541773613913,0
"r2_045",0.139430232419033,0.00316863413024738,0.00147127219990943,0.0464794122358711,0.0170994596756935,0.00207148595772696,3.903582724308e-05
