"","(Intercept)","pre_creatinine","albumin","pre_urea","total_co2","phosphate","calcium"
"r2_075",2.21421798117722,-0.00431155166085102,0,0,0,0,0
"r2_081",4.6251434557922,-0.00402519171927803,-0.0764153485886369,0,0,0,0
"r2_085",4.21805365610252,-0.00449718333633545,-0.0792488295943822,0.0382944914276677,0,0,0
"r2_086",5.13218773801086,-0.00449839890148805,-0.0786683875036375,0.0334764881420376,-0.0348742851692508,0,0
"r2_086",4.86925474822653,-0.00454436390537606,-0.0779114831036533,0.0310891779697328,-0.0305873029803999,0.129327130845337,0
"r2_086",4.45814794589915,-0.00455444702857835,-0.0800401277675855,0.0310438497361724,-0.0323315082113436,0.134543660984855,0.232112925173243
