"","(Intercept)","total_co2","pre_urea","phosphate","albumin","calcium","pre_creatinine"
"r2_056",0.0655282947993236,0.00274492358766624,0,0,0,0,0
"r2_068",0.0702228205710009,0.00249465513801157,0.00101292941235658,0,0,0,0
"r2_069",0.0735582203117858,0.00249058538931912,0.0010514999461625,0.013422058003857,0,0,0
"r2_069",0.0895879510024418,0.00250810954490627,0.00106847909533615,0.0135055926018362,0.00154809005798452,0,0
"r2_069",0.110935965924777,0.00253230393034403,0.00107278306293533,0.0135380630990186,0.00158045259385056,0.0371028924619845,0
"r2_069",0.114008523275129,0.00259989250365502,0.00117446360128436,0.0141331576633944,0.00168734660394446,0.0378834367482045,3.1931633086049e-05
