"","(Intercept)","pre_creatinine","pre_urea","phosphate","calcium","total_co2","albumin"
"r2_003",0.116867537263005,-0.000348075616017371,0,0,0,0,0
"r2_004",0.0682965394211166,-0.000394783344133726,0.00367805419977899,0,0,0,0
"r2_004",0.0886664123334286,-0.000370896356992847,0.00514199417613881,-0.0400599694067383,0,0,0
"r2_004",0.180795954874343,-0.000371458528789018,0.00528737778559846,-0.0431887432662104,-0.0390332483754343,0,0
"r2_004",0.215159791430208,-0.000369498931573318,0.00515408983955483,-0.0451352228923737,-0.0351912106056981,-0.00161185833107631,0
"r2_004",0.201191530341229,-0.00036952589113924,0.00501139752808465,-0.0455048608426082,-0.0377494056233519,-0.00124617882091555,0.000432991486775687
