"","(Intercept)","potassium","magnesium","chloride","sodium","calcium","pre_creatinine","pre_urea","glucose_r","hemoglobin","phosphate","albumin","total_co2","platelets","wbc"
"r2_068",5.73438075612756,-1.26044148899897,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_084",4.06317072057003,-1.3751850523707,2.41678544049366,0,0,0,0,0,0,0,0,0,0,0,0
"r2_085",6.80841988647371,-1.38559564789215,2.38660874143335,-0.0269669400021122,0,0,0,0,0,0,0,0,0,0,0
"r2_091",-1.02874099221784,-1.37186650151807,2.30184285991411,-0.077602402840626,0.0933274511110612,0,0,0,0,0,0,0,0,0,0
"r2_096",1.32302609387498,-1.37394206384176,2.56279017687527,-0.0815890559891862,0.0996777966634898,-1.35475033132646,0,0,0,0,0,0,0,0,0
"r2_097",2.58143927203347,-1.44109472222265,2.4516162057978,-0.0716392635282431,0.0832234588989831,-1.36454042995813,0.000611669527247092,0,0,0,0,0,0,0,0
"r2_098",2.69929045126309,-1.4115847244819,2.50497596220848,-0.072526344040506,0.0840083421989866,-1.39456732420437,0.000795526673969771,-0.0177335545109251,0,0,0,0,0,0,0
"r2_099",4.17101983409149,-1.41103672171161,2.51091026711288,-0.0749110081193677,0.0775841134270016,-1.46274093199722,0.000724256915536354,-0.0165174078497859,-0.0207120251996464,0,0,0,0,0,0
"r2_099",4.8161724284604,-1.40909141008728,2.52235230154313,-0.0742642035865386,0.0767930605617798,-1.43973502027434,0.000735499942773096,-0.0169449722698957,-0.0214922339792371,-0.00623211490637157,0,0,0,0,0
"r2_100",4.62794336509119,-1.41924340910734,2.4963584713157,-0.0719427770795126,0.0751228680816993,-1.39522149545996,0.000700556621370417,-0.019780118403876,-0.0213757308550259,-0.00627676587653769,0.146114036914863,0,0,0,0
"r2_100",4.70629698431575,-1.41470852162403,2.498061352531,-0.0743265747970706,0.0777368533994989,-1.35307262541029,0.000716506460335047,-0.0191955823630731,-0.0223781301314433,-0.00555557308676862,0.140354822962106,-0.0117451558110881,0,0,0
"r2_100",4.81387455373169,-1.41402314902319,2.50808201197922,-0.0775133814752304,0.0808352339180203,-1.34486050319844,0.000705130274401936,-0.0200246370847063,-0.0226132028662149,-0.00566156941808265,0.130943235744862,-0.012160194334858,-0.00756506155157372,0,0
"r2_100",4.93997078963883,-1.41403892237885,2.5150542098821,-0.0785474465042237,0.081207415276903,-1.33536401996177,0.000694631325597101,-0.020227202722362,-0.022669133713346,-0.00571760778957945,0.132898934326146,-0.012659000378484,-0.00836918559403398,-0.000243237124471784,0
"r2_100",4.94824690053775,-1.41383135778432,2.51467269544447,-0.0786767480869222,0.0813050634869691,-1.33480722861232,0.000693834812953831,-0.0201952287800947,-0.0226415196014593,-0.00570262819981248,0.132883244303799,-0.0128007954330148,-0.00849204848926592,-0.000226586063659574,-0.00104299083081639
