"","(Intercept)","total_co2","pre_urea","phosphate","pre_creatinine","albumin","calcium"
"r2_056",0.053521182440567,0.00224541674640868,0,0,0,0,0
"r2_065",0.0592921510015267,0.0021012525953332,0.000878621489632853,0,0,0,0
"r2_067",0.0623055320523735,0.00209416018065967,0.000904753267332758,0.0112521557339425,0,0,0
"r2_068",0.0641619787752703,0.00214520046004677,0.00100019379498191,0.0116519367509642,2.62251054460367e-05,0,0
"r2_068",0.0775798019778961,0.00215999264305044,0.00100999780038982,0.0117196061047186,2.67671113911811e-05,0.00139452415615427,0
"r2_068",0.095926017978429,0.00217997524117791,0.00101221436019359,0.0117641851972419,2.68560942699209e-05,0.00142515289385585,0.0319771749383984
