"","(Intercept)","phosphate","albumin","total_co2","pre_creatinine","calcium","pre_urea"
"r2_015",0.0571700923892706,0.0302408002744331,0,0,0,0,0
"r2_018",0.139845548430261,0.0298969987996156,0.00376066536072693,0,0,0,0
"r2_019",0.210159832394942,0.031352420848183,0.0037648910988951,0.0059180598624755,0,0,0
"r2_020",0.221985902299345,0.0335839819445894,0.00404574429526701,0.00609255565409762,7.99847508947675e-05,0,0
"r2_020",0.277945528497563,0.0340211876065157,0.00420102794747859,0.00614181948601346,8.02151091187898e-05,0.0958764744495141,0
"r2_020",0.281799371662536,0.0350804347997279,0.00424839768790681,0.00632086963853099,8.45068852366182e-05,0.0958948725934709,0.00310902027691192
