"","(Intercept)","pre_creatinine","phosphate","pre_urea","albumin","calcium","total_co2"
"r2_006",0.235059601673524,-0.000462972148380955,0,0,0,0,0
"r2_006",0.327653270046775,-0.000411006785432157,-0.0769926488332873,0,0,0,0
"r2_007",0.28011702069498,-0.000466643902369958,-0.0926005980296796,0.00519697669385302,0,0,0
"r2_007",0.385613702315433,-0.000458002492475842,-0.0941239052543126,0.00538636289593768,-0.00327461528099252,0,0
"r2_007",0.239841872604577,-0.000462555418650389,-0.0909157971094606,0.00538379025476076,-0.00391215992191841,0.073330741245266,0
"r2_007",0.292756789637031,-0.00046232930232556,-0.094393375182717,0.0052097418084885,-0.00374392078600675,0.0788271597066042,-0.00259212597797972
