"","(Intercept)","pre_urea","total_co2","pre_creatinine","calcium","phosphate","albumin"
"r2_062",0.0137026867141788,0.000600351215394531,0,0,0,0,0
"r2_082",0.0285851241413854,0.000447781125565,0.001003608957425,0,0,0,0
"r2_084",0.0277297972068793,0.000464376507347346,0.000955296128997242,1.28814996609177e-05,0,0,0
"r2_085",0.0389157030842993,0.000458097606192673,0.000953569990695502,1.27536712049362e-05,0.0139978049559367,0,0
"r2_085",0.0412723124594002,0.000466848504979082,0.000957636183829108,1.28142443677166e-05,0.0140466843735489,0.00534481474591892,0
"r2_086",0.0425761986813984,0.000469732292990404,0.000955000715514698,1.27678848769368e-05,0.0144884607938599,0.00530019479124915,0.000641877314952015
