"","(Intercept)","phosphate","calcium","pre_urea","albumin","total_co2","pre_creatinine"
"r2_003",-0.804765136527013,-0.341516227070241,0,0,0,0,0
"r2_014",3.35831465076754,-0.444562615592769,-1.75056583026987,0,0,0,0
"r2_018",2.97532629074616,-0.609766504438584,-1.79340057213297,0.0354500240682212,0,0,0
"r2_021",3.76470752030665,-0.610287121552537,-1.53470722612522,0.0400973364006164,-0.0432151797903572,0,0
"r2_021",3.84389642383503,-0.616937576605869,-1.53140567430713,0.0399460527311717,-0.042683546273316,-0.00373088294621665,0
"r2_020",3.72927574795533,-0.611830023341767,-1.55126820719992,0.0386275656818795,-0.0371392529840452,-0.00456304826403791,3.53813542324135e-05
