"","(Intercept)","pre_creatinine","albumin","pre_urea","total_co2","phosphate","calcium"
"r2_075",0.0168094021460044,2.08072010776005e-05,0,0,0,0,0
"r2_081",0.0371272273070595,1.85447686079817e-05,0.00108036592713985,0,0,0,0
"r2_085",0.0342109393197476,1.86068701630259e-05,0.000975074130410205,0.000665862664953994,0,0,0
"r2_086",0.0513954859219536,1.84654665122635e-05,0.00097125533484371,0.000690196694036101,0.00148535659056206,0,0
"r2_086",0.0537719466203777,1.85527630673559e-05,0.000966569604120923,0.00070004751784149,0.00149712948655901,0.00812306834779411,0
"r2_086",0.0662592302099772,1.85503804939728e-05,0.000984399599487645,0.000699169482141887,0.00150578002090881,0.00812590652300551,0.0220876779872642
