"","(Intercept)","pre_urea","total_co2","phosphate","albumin","pre_creatinine","calcium"
"r2_014",0.0523252978981394,0.00229251072028991,0,0,0,0,0
"r2_020",0.152439769807612,0.00238794316119468,0.0053520816523314,0,0,0,0
"r2_024",0.161039663937768,0.00246207641367811,0.0053421303764398,0.0290865106182799,0,0,0
"r2_028",0.187056092067583,0.00244829892931485,0.0052451361947538,0.0284268208868827,0.00329405792532535,0,0
"r2_030",0.19469363885788,0.00266211047885087,0.00537495810187185,0.0297107633377467,0.00351168404167856,7.22159255142203e-05,0
"r2_030",0.240941406969575,0.00265824481934317,0.005404409580454,0.0299941382689555,0.00363242440979026,7.22542697927318e-05,0.0819911179628465
