"","beta","beta_se"
"z01",0.369471337856265,0.0589098419707316
"z02",0.523052869287479,0.134509807026543
"imz02",-0.213952394033156,0.0254449096296687
"z04",0.0720465096558086,0.0689250183138693
"z05",0.493949577352059,0.0526231164474748
"z06",-0.617383755165451,0.128423081598176
"z11",-0.208528267876348,0.0500097408822924
"baseline_age",0.0268842181077254,0.00552892557873438
"log(scale)",2.90080149471218,0.274342176425074
"log(shape)",0.457688123947204,0.0640526778994879
