"","(Intercept)","total_co2","pre_urea","calcium","albumin","phosphate","pre_creatinine"
"r2_039",-7.11638432597787,0.287280750000713,0,0,0,0,0
"r2_042",-5.55539748254432,0.258379702588075,-0.0378374712007903,0,0,0,0
"r2_043",-3.83716925639576,0.266017454822159,-0.0359997519396581,-0.862203083503213,0,0,0
"r2_044",-3.28280304767922,0.266629254187555,-0.0341909881081205,-0.746555038351499,-0.0250334264563628,0,0
"r2_045",-3.70783080212181,0.272472989444078,-0.0396134637489748,-0.740475114223185,-0.0246738950945442,0.223186375396141,0
"r2_046",-3.7636908712588,0.275689096340265,-0.0415093632424385,-0.725209862613947,-0.0287743619942328,0.210862955005155,0.000197136739639095
