"","(Intercept)","phosphate","total_co2","albumin","pre_urea","pre_creatinine","calcium"
"r2_042",0.0501015427859951,0.0265018068978422,0,0,0,0,0
"r2_049",0.139568125701961,0.026375798884135,0.00495214013342402,0,0,0,0
"r2_052",0.172392618197807,0.0257181681925812,0.004854542481868,0.00308831343445517,0,0,0
"r2_054",0.174938897527411,0.0265853768845108,0.00490536465906618,0.00308067412014385,0.00228970203952051,0,0
"r2_054",0.18458908578294,0.0281687818595414,0.00509599906790162,0.00332942848371725,0.00252394758466131,6.84679363323702e-05,0
"r2_054",0.228990766894369,0.0285064356970869,0.00513635207001055,0.00345225696880209,0.00252639646887776,6.86704741178819e-05,0.07792437678929
