"","(Intercept)","pre_creatinine","albumin","pre_urea","phosphate","total_co2","calcium"
"r2_076",2.4239573588579,-0.00443090629736794,0,0,0,0,0
"r2_083",4.92772131200659,-0.004102709277233,-0.0798597012687304,0,0,0,0
"r2_087",4.45123234805459,-0.00460352182358877,-0.080042409976966,0.0384761310965274,0,0,0
"r2_088",4.19068335860221,-0.0047085546694943,-0.0787369707859608,0.0337912667741037,0.238445942572772,0,0
"r2_088",5.09170193955582,-0.00469355397560014,-0.078677758250238,0.0299581034816505,0.210940640705177,-0.0329626832339772,0
"r2_088",4.52609453333446,-0.00471545605015895,-0.0811120372270336,0.0298967647598953,0.215225901697225,-0.035261279524206,0.31770333686908
