"","(Intercept)","pre_urea","total_co2","phosphate","albumin","pre_creatinine","calcium"
"r2_014",-1.44659388532029,0.0671395523592729,0,0,0,0,0
"r2_020",-4.31040274560984,0.0835807561602598,0.105904139408072,0,0,0,0
"r2_024",-5.4140015913621,0.0697268994210136,0.125187193550186,0.522749475487888,0,0,0
"r2_028",-3.77028782628793,0.0772867476044546,0.128500541742852,0.5013826320669,-0.0539595737006944,0,0
"r2_030",-3.49473108362447,0.0861981218876821,0.130922720821429,0.535024923903717,-0.0581873511680879,-0.000669039435040151,0
"r2_030",-2.79583067484851,0.0866306299128467,0.13441968992807,0.512873046306881,-0.0530348354407513,-0.000653718754504831,-0.411193157469711
