"","(Intercept)","calcium","phosphate","pre_urea","pre_creatinine","total_co2","albumin"
"r2_049",-9.09245990293807,3.9255282208371,0,0,0,0,0
"r2_062",-10.4759885873106,3.99700488593405,0.707807865992222,0,0,0,0
"r2_065",-10.7569687222563,3.94987997352836,0.594954119803284,0.025037146565423,0,0,0
"r2_065",-10.732966570605,4.03254922402725,0.650183279066221,0.0344671452302639,-0.000652978477864973,0,0
"r2_067",-11.9682949685044,3.94776605334447,0.69314549947187,0.0403648082791362,-0.000667297241610902,0.0518882548906534,0
"r2_067",-11.6420654344271,3.98697660957065,0.690124583690299,0.0401874495772691,-0.000610272967099825,0.0518338797985044,-0.0129789438414375
