"","(Intercept)","calcium","phosphate","pre_urea","pre_creatinine","total_co2","albumin"
"r2_050",0.0710492122063092,0.0313306834936511,0,0,0,0,0
"r2_062",0.0655528690440906,0.0273812409689365,0.00949884482120471,0,0,0,0
"r2_064",0.0647328518400042,0.0267735601211117,0.00994052868469893,0.000781896878785191,0,0,0
"r2_065",0.0667391362864925,0.0276901427447583,0.0103682572655347,0.000870552166911712,2.36369204109372e-05,0,0
"r2_067",0.0801111811575367,0.0276118454814477,0.0103761825001851,0.00088874918096002,2.33820390345376e-05,0.0019190084701134,0
"r2_067",0.0846331216056135,0.0282126600498941,0.0103792457705586,0.000893051362316279,2.36944589184255e-05,0.00192333752168598,0.00125737668167793
