"","(Intercept)","total_co2","pre_urea","calcium","pre_creatinine","phosphate","albumin"
"r2_004",0.0739835605519308,0.00310389117442835,0,0,0,0,0
"r2_007",0.0918603311651728,0.00325543526434075,0.0013612334793594,0,0,0,0
"r2_009",0.132146572150274,0.00326713912826196,0.00135744777742099,0.0473530417592045,0,0,0
"r2_010",0.134194951650852,0.00332058947084434,0.00152796525181653,0.0483002776444932,4.05524955450126e-05,0,0
"r2_011",0.14088671364928,0.00337484472096034,0.00156298970449229,0.0485592911184648,4.11205850468888e-05,0.0182479677811955,0
"r2_011",0.14997128996654,0.00340818586974065,0.00158250177084411,0.0499932997956375,4.19869727317226e-05,0.0183921950125396,0.00222809225688042
