"","(Intercept)","pre_urea","total_co2","pre_creatinine","phosphate","calcium","albumin"
"r2_066",-1.37340589422333,0.0572009344740995,0,0,0,0,0
"r2_083",-3.40010933750565,0.0667369589975096,0.076179806180789,0,0,0,0
"r2_087",-3.2412474463163,0.0746816470667764,0.0768696340197404,-0.000441105140094048,0,0,0
"r2_087",-3.12784139643998,0.0755738224533538,0.0749520012755134,-0.000412003495518313,-0.0649126552961453,0,0
"r2_088",-3.37730695233174,0.0755057512743026,0.0738331239799671,-0.000423975802670805,-0.0627475951194854,0.125811511963644,0
"r2_088",-3.24703635991992,0.075606371154837,0.07384812785058,-0.000402416715276579,-0.0649723912400559,0.145373604375126,-0.00548516279127483
