"","(Intercept)","pre_urea","total_co2","calcium","pre_creatinine","phosphate","albumin"
"r2_005",0.53331031128513,-0.0339641879472156,0,0,0,0,0
"r2_007",-1.09921909596466,-0.0260328379945868,0.0610029455755324,0,0,0,0
"r2_009",0.706571437398901,-0.0241285835811669,0.0685843619441784,-0.90092682877931,0,0,0
"r2_010",0.592134791985329,-0.0319217198465515,0.0722010445532508,-0.994892871948074,0.000531639448527037,0,0
"r2_011",0.267586203017318,-0.034361423759169,0.0771782814530882,-0.981299436127122,0.000455968751941453,0.171126961175209,0
"r2_011",0.509080937701423,-0.0339897811996044,0.077648203900623,-0.938621559526051,0.000499619649308052,0.167639411826838,-0.0111380918801595
