"","(Intercept)","total_co2","phosphate","pre_urea","calcium","pre_creatinine","albumin"
"r2_006",-2.34132044832094,0.0769811498590626,0,0,0,0,0
"r2_008",-1.74087905673089,0.0673115871320806,-0.217368765497983,0,0,0,0
"r2_013",-2.57778420850851,0.0832399813920288,-0.329056501948834,0.0282110909270369,0,0,0
"r2_013",-3.18620838626241,0.0812150800256177,-0.324759027796565,0.0275157437291333,0.295020208101207,0,0
"r2_012",-3.04245360408555,0.0765672140797361,-0.338522969169291,0.0244062120598686,0.276514608945636,0.000120257387527231,0
"r2_013",-2.91010494521986,0.0767258084179459,-0.341981400444299,0.0245983350188415,0.314032816842227,0.00014256884664651,-0.00686689329506752
