"","(Intercept)","pre_creatinine","pre_urea","phosphate","calcium","total_co2","albumin"
"r2_003",0.0191296743793493,2.58978989819468e-05,0,0,0,0,0
"r2_004",0.0232614302032866,2.84126526114219e-05,0.000975919149326499,0,0,0,0
"r2_004",0.0261954724945915,2.91746311276875e-05,0.00103428899231758,0.011847201352496,0,0,0
"r2_004",0.0790672514513226,2.93182957055843e-05,0.00103612525023744,0.0120740323840111,0.0319210023689795,0,0
"r2_004",0.0957293502481068,2.97220876210578e-05,0.00108283498991995,0.0123970674850516,0.032580679106431,0.00222119586204958,0
"r2_004",0.0996970428223974,2.98974639528716e-05,0.00109993193332658,0.0124110128061075,0.0339263894131337,0.00223624349234556,0.00150302920733633
