"","(Intercept)","pre_urea","total_co2","pre_creatinine","calcium","albumin","phosphate"
"r2_061",0.00846032085921095,0.000357892642876608,0,0,0,0,0
"r2_078",0.0196170151061734,0.000290694986496483,0.000695206755165217,0,0,0,0
"r2_083",0.0181885784491505,0.000295603278004957,0.000636551641790559,7.82000627650542e-06,0,0,0
"r2_083",0.0257081467483917,0.000292717083891083,0.000636135714178993,7.76876844962937e-06,0.0092530353071952,0,0
"r2_083",0.0271396341675237,0.000293380657924822,0.000636910467503202,7.85556358945115e-06,0.00945105191318654,0.000421547726547855,0
"r2_084",0.0283738384418804,0.000299401636072734,0.000644812185515618,7.94373097157019e-06,0.00945848910077653,0.000421544215192352,0.0034797138171832
