"","(Intercept)","calcium","pre_urea","phosphate","albumin","pre_creatinine","total_co2"
"r2_013",2.93661923004783,-1.968894449585,0,0,0,0,0
"r2_016",2.35807073358465,-1.99328856737253,0.0274023371443349,0,0,0,0
"r2_022",3.01421655685846,-2.05399035913975,0.0405821937706217,-0.477428996340781,0,0,0
"r2_026",4.15185397243425,-1.8189812823347,0.0436206657111776,-0.474830932100496,-0.0500201501930745,0,0
"r2_025",4.15031612319815,-1.83791137864823,0.0408223996507293,-0.483651906306126,-0.0508447111523137,0.000189851700970631,0
"r2_025",3.96701980241629,-1.84173845719053,0.0418022691068902,-0.481838119356147,-0.0506185211675541,0.000179945657302927,0.00697220840210421
