"","(Intercept)","pre_creatinine","phosphate","pre_urea","calcium","albumin","total_co2"
"r2_008",0.323296291796096,-0.000547092424096813,0,0,0,0,0
"r2_009",0.436525784363649,-0.000480308773113083,-0.0980311207769634,0,0,0,0
"r2_009",0.389192321424208,-0.000536914146741528,-0.112951725167019,0.00514524030405401,0,0,0
"r2_009",0.089800782206247,-0.000551090161041517,-0.107946863773681,0.00501964439196748,0.13548502956356,0,0
"r2_010",0.228221616015134,-0.000530657177939258,-0.109757257996657,0.00522820284260146,0.165239033519926,-0.00640734132191051,0
"r2_010",0.2924044631077,-0.000533191187931419,-0.113812323249799,0.00503170391207296,0.173441486663589,-0.00608208281782509,-0.00339103402371653
