"","(Intercept)","total_co2","pre_urea","phosphate","calcium","pre_creatinine","albumin"
"r2_041",0.114463135491437,0.00481567935738709,0,0,0,0,0
"r2_044",0.141694139882546,0.00497480813087914,0.00221961468940103,0,0,0,0
"r2_045",0.153710354759186,0.00509899695052586,0.00235002129125737,0.0277627123437762,0,0,0
"r2_045",0.220369425143042,0.00511743899962486,0.00234900682969898,0.0280175931004078,0.0738847032864557,0,0
"r2_047",0.22557256796833,0.00523393142504967,0.00255154629932354,0.0292119223689714,0.0767717260499749,7.00358626971285e-05,0
"r2_046",0.235625737379628,0.00528517704163984,0.00259959839851189,0.0293324050671854,0.0801822230207832,7.06601900141176e-05,0.00355228555688093
