"","(Intercept)","albumin","pre_creatinine","pre_urea","calcium","phosphate","total_co2"
"r2_064",-15.3156514249501,0.446346312395886,0,0,0,0,0
"r2_081",-13.8313496407845,0.504672703378064,-0.00435014328577516,0,0,0,0
"r2_082",-14.3570520020093,0.50453207096664,-0.00489213609816019,0.0419537169024443,0,0,0
"r2_084",-11.5447367802146,0.516236965997863,-0.00480400651517362,0.0406404959075521,-1.44619111494365,0,0
"r2_085",-10.8464242541798,0.514610476963284,-0.00458145620996658,0.0504567971203498,-1.52480269666945,-0.508466542036005,0
"r2_085",-11.4817158340118,0.515012362403564,-0.00459095375818617,0.053508409197869,-1.5661899003218,-0.489299453498561,0.0261112016736843
