"","(Intercept)","pre_urea","total_co2","pre_creatinine","phosphate","calcium","albumin"
"r2_066",0.00985347627147628,0.00040928614475313,0,0,0,0,0
"r2_083",0.0215270012786115,0.000310516333260872,0.00076474348237511,0,0,0,0
"r2_087",0.0200419610770023,0.00031771191970152,0.00070247434438007,8.43995538667927e-06,0,0,0
"r2_087",0.0209573827221634,0.000320373243729221,0.000705109646720696,8.51035199415347e-06,0.00385966480065439,0,0
"r2_088",0.0290465820163076,0.000318304748224825,0.000705758943858449,8.50729251843855e-06,0.00383737562630692,0.0101387847600179,0
"r2_088",0.0309903723679543,0.000319248625373178,0.000706715905884369,8.67981771209751e-06,0.00384174626722094,0.0102976670311878,0.000458663072442841
