"","(Intercept)","total_co2","phosphate","pre_urea","pre_creatinine","albumin","calcium"
"r2_008",0.0926245989593359,0.00389689105824033,0,0,0,0,0
"r2_010",0.114661385151757,0.00406840203884767,0.0216688847781567,0,0,0,0
"r2_013",0.124328134560378,0.00412430756523284,0.0224557821198561,0.00190080729289149,0,0,0
"r2_013",0.128803115446805,0.00424748138195603,0.0235630095825883,0.00208204645634771,5.70278718815831e-05,0,0
"r2_013",0.155063153233175,0.00428086894190132,0.0236630465953672,0.0021202297492987,5.75161530164901e-05,0.00279687001514615,0
"r2_013",0.192606426817281,0.00432023715408854,0.0239770484870477,0.00212497736565425,5.77594233473834e-05,0.00290372790236889,0.0655429735395053
