"","(Intercept)","pre_urea","phosphate","pre_creatinine","calcium","total_co2","albumin"
"r2_007",0.0246583589643091,0.00104310999613314,0,0,0,0,0
"r2_012",0.0291996872767174,0.00110881445725103,0.0140624188283027,0,0,0,0
"r2_015",0.031945973110279,0.00123560013395443,0.0146484183088283,3.34133140464765e-05,0,0,0
"r2_017",0.0936106047647662,0.00122106636912496,0.0145428737467767,3.31539563974295e-05,0.0388391452540292,0,0
"r2_018",0.11375753333071,0.0012620200216108,0.0147341346058694,3.32023950512076e-05,0.0392087020474882,0.00272498378936088,0
"r2_019",0.11999285292296,0.00126616835983465,0.0147156962613474,3.35940075250535e-05,0.0399999137891644,0.00272690823619069,0.00178270885406325
