"","(Intercept)","total_co2","pre_urea","phosphate","calcium","pre_creatinine","albumin"
"r2_041",-7.52815516423591,0.293213376195077,0,0,0,0,0
"r2_044",-5.86869024549803,0.262166377378561,-0.0421483139571633,0,0,0,0
"r2_045",-6.36022726871798,0.270771869645287,-0.0477191464248039,0.226185345278096,0,0,0
"r2_045",-5.36638540624075,0.274443292307848,-0.0465542230456047,0.198490218122753,-0.464818128270038,0,0
"r2_047",-5.30018566778866,0.278833461344391,-0.0455459665558386,0.224713227862695,-0.506431646639317,-0.000170562979616359,0
"r2_046",-5.22652564537542,0.278972394867375,-0.0451865402511023,0.226710126469126,-0.505217845900423,-0.000184899460538947,-0.00243223375735479
