"","(Intercept)","albumin","pre_creatinine","pre_urea","phosphate","calcium","total_co2"
"r2_067",0.154121612486804,0.00446687381723123,0,0,0,0,0
"r2_083",0.119231185562573,0.00339078909812639,6.39547509540785e-05,0,0,0,0
"r2_084",0.11749229093789,0.00333988322464097,6.78262138481084e-05,0.00234545059137062,0,0,0
"r2_085",0.118377156737409,0.00324745395680904,6.66888987724055e-05,0.00239011185972974,0.0269578038403555,0,0
"r2_086",0.183666975270615,0.00325609211596718,6.47614329820395e-05,0.00231610193421753,0.0265283206598169,0.0728425073304909,0
"r2_086",0.217881940741023,0.00328478068570467,6.53391242595916e-05,0.00240383563575852,0.0271235282431958,0.0741441005510812,0.00488717677363521
