"","(Intercept)","total_co2","pre_urea","calcium","phosphate","albumin","pre_creatinine"
"r2_039",-7.28668594203776,0.290395475803945,0,0,0,0,0
"r2_042",-5.79118857833956,0.26266289617091,-0.0369083424257761,0,0,0,0
"r2_043",-4.20187863367369,0.269980698811049,-0.0356545066452475,-0.792717426711986,0,0,0
"r2_044",-4.59480090837926,0.275176648988482,-0.0397536526279585,-0.765047724046335,0.170669588223989,0,0
"r2_044",-4.26160369783294,0.275693268714791,-0.038292369496932,-0.692351278954441,0.168792837740307,-0.0156236165876395,0
"r2_045",-4.29244514608252,0.278514171345788,-0.0413285892728694,-0.717671686310139,0.162591379157303,-0.0170031297670629,0.000208673168706637
