"","(Intercept)","phosphate","albumin","total_co2","pre_urea","calcium","pre_creatinine"
"r2_016",0.0374193917664974,0.0207955738422781,0,0,0,0,0
"r2_016",0.0963879814133966,0.0210263785036126,0.00257422510080053,0,0,0,0
"r2_017",0.144450342015661,0.0216713954188213,0.00258712212123337,0.00409339112849476,0,0,0
"r2_018",0.150385763763078,0.0226710047029065,0.00259868322848108,0.0042102086864551,0.0017935899082303,0,0
"r2_019",0.185644779832245,0.0226551481516513,0.00264479397078165,0.00423766090373087,0.00179523902700262,0.0620894968085927,0
"r2_018",0.193828798292791,0.0240281418203044,0.00286870099840442,0.00442014355766874,0.00199673552411701,0.06440659706104,5.42877838498008e-05
