"","(Intercept)","total_co2","phosphate","pre_urea","calcium","albumin","pre_creatinine"
"r2_007",0.0559968938010697,0.00234928223470053,0,0,0,0,0
"r2_009",0.0675444594961349,0.00243419015086804,0.0128629794189817,0,0,0,0
"r2_013",0.0732834782380059,0.00246314150559325,0.0132347334610012,0.00106416660276026,0,0,0
"r2_013",0.103934257536509,0.00248220413254929,0.0132703269733178,0.00106764160438727,0.0356222602406278,0,0
"r2_013",0.110021902176634,0.00250241662566699,0.0133486943556992,0.0010866288872613,0.0366802222681596,0.00157575902748016,0
"r2_012",0.114486639764349,0.00260177630002382,0.0140404247062627,0.00120806662532206,0.0381644040376746,0.00170090419060953,3.20524509924851e-05
