"","(Intercept)","pre_creatinine","phosphate","pre_urea","albumin","calcium","total_co2"
"r2_006",0.235059601673524,-0.000462972148380955,0,0,0,0,0
"r2_006",0.327653270046775,-0.000411006785432156,-0.0769926488332874,0,0,0,0
"r2_007",0.28011702069498,-0.000466643902369957,-0.0926005980296796,0.00519697669385301,0,0,0
"r2_007",0.385613702315434,-0.000458002492475842,-0.0941239052543127,0.00538636289593767,-0.00327461528099255,0,0
"r2_007",0.239841872604577,-0.000462555418650389,-0.0909157971094606,0.00538379025476075,-0.00391215992191843,0.0733307412452661,0
"r2_007",0.292756789637032,-0.000462329302325559,-0.094393375182717,0.00520974180848849,-0.00374392078600677,0.0788271597066043,-0.00259212597797972
