"","(Intercept)","total_co2","pre_urea","phosphate","calcium","albumin","pre_creatinine"
"r2_056",0.0886612344446577,0.00373014486002384,0,0,0,0,0
"r2_066",0.100016613301509,0.00351153168005242,0.0015667432982916,0,0,0,0
"r2_067",0.106327495078601,0.00352717664344885,0.00162560211166153,0.0192045595413932,0,0,0
"r2_067",0.152844167646359,0.00354936127764079,0.00162922779985429,0.0194324856731215,0.0512450670880785,0,0
"r2_068",0.158401156627823,0.00356381412412855,0.00165380036415841,0.0194075329293487,0.0530124229260642,0.00229660651309881,0
"r2_068",0.163068913014493,0.00365769921764021,0.00179909754271268,0.0203000039961691,0.0554915099534253,0.00245842135464332,4.89016204559831e-05
