"","(Intercept)","pre_creatinine","albumin","pre_urea","phosphate","total_co2","calcium"
"r2_076",0.0213475338629397,2.53107434004784e-05,0,0,0,0,0
"r2_083",0.0452578589611358,2.22387036566014e-05,0.00132026389414569,0,0,0,0
"r2_087",0.0415517508392984,2.23312540223117e-05,0.00117770108711379,0.000790573161018016,0,0,0
"r2_088",0.0420109845084044,2.21202219605986e-05,0.00115076020460327,0.000790192993131186,0.00969785331644875,0,0
"r2_088",0.0636594251558381,2.19021701687132e-05,0.00114425960774761,0.000807542750143491,0.00971401404001103,0.0017745829930998,0
"r2_088",0.0779681558144089,2.1837407172212e-05,0.00115394269787858,0.000803192238902255,0.00966538472031526,0.00177801464313773,0.0259077270217889
