"","sodium","potassium","pre.urea","chloride","calcium","corrected.ca","total.co2","phosphate","hemoglobin","ca.x.p","wbc","pre.creatinine","platelets","albumin","magnesium","glucose.r","post.urea","urr","post.creatinine","pth","total.bilirubin","X..sat","alt","ast","total.protein","uric.acid","alk.phos","ferritin","tibc","iron.lvl","uibc","hgba1c"
"sex 0",137.358,4.37609561752988,26.2381443298969,102.559139784946,2.14252118644068,2.22468085106383,22.3723849372385,1.74923566878981,90.8719101123596,3.8712660944206,8.29029885057471,634.174442190669,213.875288683603,30.7722095671982,0.862957746478873,8.54696569920844,10.9040247678019,NA,285.86217948718,59.8391290322581,2.07943620377675,22.3420195439739,2.76683013692314,2.8374461672238,61.2456140350877,457.754658385093,4.42946937504444,5.37686581776182,41.22625,2.15590815197476,31.8546296296296,6.15833333333333
"sex 1",136.802675585284,4.25418060200669,22.4165517241379,101.841549295775,2.18774647887324,2.28971731448763,22.8908450704225,1.65367857142857,90.1115107913669,3.78485714285714,8.39852398523985,536.591065292096,231.369003690037,29.7137546468402,0.85012,8.67105263157895,7.98125,NA,212.901960784314,60.7602702702703,1.95076279643013,22.7010309278351,2.72765191312814,2.93253994556514,61.3366336633663,429.736559139785,4.47534588289109,5.38360378935164,42.1005882352941,2.18383586732681,31.8985074626866,6.41176470588235
