"","(Intercept)","phosphate","albumin","total_co2","calcium","pre_urea","pre_creatinine"
"r2_016",0.0314550712470712,0.0171675535629302,0,0,0,0,0
"r2_017",0.0798483153532972,0.0172379387644034,0.00213352549292218,0,0,0,0
"r2_018",0.119787514663457,0.0178715445394647,0.00214137894634239,0.00338721633001626,0,0,0
"r2_019",0.151420102893133,0.0178935315041603,0.00219269476376735,0.00340872600571101,0.0514537792483224,0,0
"r2_019",0.154424069072811,0.0187359031105182,0.00221169709019427,0.00351233118320888,0.0514834688828647,0.00152516590808941,0
"r2_019",0.160258208863332,0.0196537632665048,0.00238092287096805,0.00364196215875596,0.0534224696087098,0.00169104966273952,4.48669678515181e-05
