"","(Intercept)","total_co2","pre_urea","calcium","pre_creatinine","phosphate","albumin"
"r2_004",-2.26247794289706,0.0818485087358466,0,0,0,0,0
"r2_007",-1.20270896098884,0.0620036949010543,-0.0259860881441541,0,0,0,0
"r2_009",0.691804643595224,0.0702531142591713,-0.0244488012803118,-0.94029770269206,0,0,0
"r2_010",0.587461223424761,0.0745371411394867,-0.0312408744239245,-1.01655827074479,0.000445026499143364,0,0
"r2_011",0.293555795766034,0.0787851940082971,-0.0332215947752091,-0.994546084592712,0.000396223916162812,0.129190631236486,0
"r2_011",0.47025147712635,0.0789166090920018,-0.0326370869088876,-0.953545218709992,0.000419544661389815,0.127795158978505,-0.00873479080547568
