"","(Intercept)","total_co2","phosphate","pre_urea","pre_creatinine","albumin","calcium"
"r2_008",-2.47380478667928,0.0829075114928136,0,0,0,0,0
"r2_010",-1.66741692708581,0.0680576669367111,-0.251642161283669,0,0,0,0
"r2_013",-2.41274855937856,0.0816652806265411,-0.356306927066165,0.0278698041190599,0,0,0
"r2_013",-2.41901330271361,0.0792414541675818,-0.357322972955218,0.0253176845646501,0.000171377011514642,0,0
"r2_013",-2.23716890772125,0.0802281945875892,-0.360876186018031,0.0259127346776301,0.000191614015897045,-0.00672350762842499,0
"r2_013",-2.29059141509899,0.0802006466265711,-0.360447026134031,0.0259070801053532,0.000193619535907643,-0.00684144596023143,0.0242677428863983
