"","(Intercept)","pre_urea","phosphate","calcium","pre_creatinine","total_co2","albumin"
"r2_008",0.0423138758720022,0.00185388364615561,0,0,0,0,0
"r2_012",0.0499594360496913,0.00199707543145879,0.0238611613730408,0,0,0,0
"r2_014",0.158760401977225,0.00197746643579573,0.0239921115429067,0.0637886950511101,0,0,0
"r2_015",0.166982806424842,0.00218820180183961,0.0254992525393126,0.0674142386591971,6.19175601358272e-05,0,0
"r2_016",0.200976722613298,0.00227333233581014,0.0260267304301569,0.0684007369772737,6.23993346222845e-05,0.00466323717313409,0
"r2_016",0.209102943488846,0.00230697920805626,0.0260306548315376,0.0711566530701687,6.27064508476339e-05,0.00469026044674401,0.00315242882342673
