"","(Intercept)","calcium","pre_urea","phosphate","albumin","pre_creatinine","total_co2"
"r2_011",0.0933379396824268,0.0411593789055402,0,0,0,0,0
"r2_013",0.0961382863665599,0.040967583154751,0.00112262664306563,0,0,0,0
"r2_019",0.0960469960547858,0.039725115613334,0.00116013499015225,0.0147492021782321,0,0,0
"r2_024",0.1010186013764,0.0397669240385101,0.0011479130468229,0.014392542972288,0.00171469554723829,0,0
"r2_022",0.107132507066847,0.0420879985039464,0.00130030453321888,0.0153912860192998,0.0018840201840779,3.55691215536843e-05,0
"r2_022",0.128173374807437,0.0427269109574004,0.00135248948417453,0.0157189399744423,0.00190424516592742,3.58842815459774e-05,0.0029128154128243
