"","(Intercept)","phosphate","albumin","total_co2","pre_urea","calcium","pre_creatinine"
"r2_016",1.55661356117129,-0.900250387750596,0,0,0,0,0
"r2_016",2.17029209197951,-0.886516651842564,-0.0183374058941351,0,0,0,0
"r2_017",3.43550393193294,-0.945600815214033,-0.0188721519981734,-0.0483745548511299,0,0,0
"r2_018",2.99077791499919,-1.01531253806397,-0.022049254192536,-0.0379392576885152,0.0184727727119087,0,0
"r2_019",2.05802444699093,-1.00968211274229,-0.0264924684505497,-0.0419453324876755,0.0176970433323223,0.52856625617236,0
"r2_018",2.13813679374525,-1.00059785219528,-0.0308429389982017,-0.0424206413698301,0.0166561304135384,0.558538179158049,1.34690794689509e-05
