"","(Intercept)","calcium","phosphate","pre_urea","pre_creatinine","albumin","total_co2"
"r2_051",-8.73580731847338,3.77811333184442,0,0,0,0,0
"r2_062",-10.5520094160331,4.073906264683,0.629213556820515,0,0,0,0
"r2_064",-10.7967573850279,4.04752840269416,0.531204766363949,0.0218372291523431,0,0,0
"r2_065",-10.7276633734974,4.13241404961624,0.587159762659739,0.0306539027778251,-0.000787609930440741,0,0
"r2_066",-10.2828009523714,4.28979710700563,0.583205772950942,0.0343387031315117,-0.000780733023928268,-0.0259338600183006,0
"r2_067",-11.1602114292459,4.22641821440592,0.619978960533187,0.0387927235707555,-0.000785216276556771,-0.0262454408332044,0.0369363853645316
