"","(Intercept)","total_co2","pre_urea","calcium","albumin","phosphate","pre_creatinine"
"r2_039",0.0870256564186575,0.00364542947084558,0,0,0,0,0
"r2_042",0.105489654266334,0.0037475041002732,0.00152163602425596,0,0,0,0
"r2_043",0.151888072919989,0.00376336319951415,0.00152126906110305,0.0546131642592014,0,0,0
"r2_044",0.162016685388855,0.00378025876962725,0.00153819997238309,0.0558621104495743,0.00237660443359401,0,0
"r2_045",0.166367369634407,0.00379762091125502,0.00160882086238754,0.0556421046436301,0.00237015776334507,0.0203026307018914,0
"r2_046",0.169697506811475,0.00386984466752011,0.00174814600920508,0.0563881066164369,0.00251155355398457,0.0210366869945654,4.75290650861662e-05
