"","(Intercept)","calcium","phosphate","pre_urea","pre_creatinine","albumin","total_co2"
"r2_051",0.113922432045355,0.0499768516572715,0,0,0,0,0
"r2_062",0.110336133600577,0.0447280088936573,0.015601316682005,0,0,0,0
"r2_064",0.109990123265608,0.0441931762847918,0.0166218734214662,0.00137000016577167,0,0,0
"r2_065",0.113402670132849,0.0457828852718859,0.017317251915103,0.00148606873025465,4.2049937941811e-05,0,0
"r2_066",0.1183956654141,0.0469558401183334,0.0171007235906722,0.00149300890519124,4.17466065403534e-05,0.00209894670586006,0
"r2_067",0.138331614722124,0.0470735349449708,0.0172205252352793,0.00152617726779065,4.14833213464995e-05,0.00208548269175583,0.00310283198428538
