"","(Intercept)","calcium","pre_urea","phosphate","albumin","pre_creatinine","total_co2"
"r2_011",2.59666122157511,-1.80069339025316,0,0,0,0,0
"r2_013",2.06501068209965,-1.79489159480424,0.0227908719592567,0,0,0,0
"r2_019",2.89180266979155,-1.91184542044191,0.0370323987380747,-0.504356075352683,0,0,0
"r2_024",3.94421788175081,-1.66440762472181,0.0410335398552483,-0.50740108689514,-0.0490373910340308,0,0
"r2_022",3.86073884571531,-1.6652378340728,0.0402131778295576,-0.499796030063028,-0.0471072659864279,3.76649713505377e-05,0
"r2_022",3.79624151262084,-1.66414367619021,0.0405957503560969,-0.501127585001264,-0.0468685869514676,3.18343465204296e-05,0.00219247099483092
