"","(Intercept)","pre_creatinine","phosphate","pre_urea","calcium","albumin","total_co2"
"r2_008",0.0163686054422463,1.94074676181503e-05,0,0,0,0,0
"r2_009",0.0202834648502255,2.06552321141894e-05,0.00988267430353153,0,0,0,0
"r2_009",0.0216173957529944,2.26254401902558e-05,0.0101540799781508,0.000824878562558515,0,0,0
"r2_009",0.06365144284101,2.27899371657142e-05,0.0101813838401231,0.000825390869280744,0.0269032322125878,0,0
"r2_010",0.0691955056057578,2.30684714343556e-05,0.010102511356835,0.000821764287911239,0.0272016491593238,0.00121450825894297,0
"r2_010",0.0831169783236481,2.32794950658816e-05,0.0103036626158047,0.000856233050701755,0.0276186086844325,0.00123014619500056,0.00189543029470368
