"","(Intercept)","phosphate","calcium","pre_urea","albumin","total_co2","pre_creatinine"
"r2_003",0.0466273818310937,0.0246641081436921,0,0,0,0,0
"r2_014",0.167404837021592,0.0236707213787998,0.0678624925017661,0,0,0,0
"r2_018",0.167002282658801,0.0252376369898885,0.0671002186230906,0.00208012454331291,0,0,0
"r2_021",0.173677802810722,0.0247970964211338,0.0682260675274503,0.00207986484186184,0.00297592358685988,0,0
"r2_021",0.207072740182733,0.0253708439346141,0.0693014363829328,0.00216196005390363,0.00300227986911902,0.00465885964405642,0
"r2_020",0.218633727034681,0.0272171160674071,0.0743999295489335,0.00241212990134576,0.00329611459015212,0.00490403963294611,6.55645723067813e-05
