"","(Intercept)","pre_creatinine","phosphate","pre_urea","albumin","calcium","total_co2"
"r2_006",0.0123343697901291,1.52678667664394e-05,0,0,0,0,0
"r2_006",0.0157305056690043,1.61208349622396e-05,0.007448617506774,0,0,0,0
"r2_007",0.0167871020063489,1.75581663871085e-05,0.00769751140568157,0.000649288266040557,0,0,0
"r2_007",0.0336806865988807,1.77704154608783e-05,0.00767257695723391,0.000650569204277065,0.000924007299037168,0,0
"r2_007",0.0537047225111704,1.7830533936957e-05,0.00771553627733913,0.000651832912796149,0.000944445191861463,0.0210983980734683,0
"r2_007",0.0643305864738387,1.80104243998663e-05,0.00788938130732799,0.000678818372749899,0.00095574614071077,0.0214447598359216,0.00146195045639191
