"","(Intercept)","albumin","pre_creatinine","pre_urea","calcium","phosphate","total_co2"
"r2_064",-15.2469785045758,0.449972491239882,0,0,0,0,0
"r2_082",-13.6109900964334,0.503856290463035,-0.0045326175801389,0,0,0,0
"r2_083",-14.0487517713079,0.500836255924631,-0.00503393158476928,0.0409064188187977,0,0,0
"r2_084",-11.6097536005088,0.512851153750382,-0.00498820950533422,0.0395661819562482,-1.26408243042886,0,0
"r2_085",-10.7897686389122,0.511008874021375,-0.00480776767677145,0.0506108593214221,-1.38564196611207,-0.498921742421477,0
"r2_085",-11.2736918265467,0.510945151493981,-0.00481484053744677,0.0530637580460714,-1.41841488526531,-0.482398277508742,0.0203420898070674
