"","(Intercept)","total_co2","pre_urea","calcium","phosphate","albumin","pre_creatinine"
"r2_004",-2.36682116964944,0.0810759566384596,0,0,0,0,0
"r2_007",-1.14546734386278,0.0581077671286709,-0.0308959676591046,0,0,0,0
"r2_009",0.724152363000783,0.0672562978088447,-0.0297884415989569,-0.928552594075319,0,0,0
"r2_009",0.262595066390837,0.0724094525728911,-0.0333136442406079,-0.863743476448113,0.14797201214671,0,0
"r2_010",0.532954236301659,0.0723517211312399,-0.031638187552912,-0.779133699180968,0.149679629627379,-0.0146004773475012,0
"r2_010",0.464204567546495,0.0782759631813055,-0.0318233883631486,-0.859634070279846,0.144061394759051,-0.00958658606249393,-3.43337317411828e-05
