"","(Intercept)","calcium","pre_urea","phosphate","albumin","pre_creatinine","total_co2"
"r2_013",0.115930398335084,0.0512695161792938,0,0,0,0,0
"r2_016",0.11759414072105,0.0506035407180953,0.00134606629748723,0,0,0,0
"r2_022",0.11661875192875,0.0490523413868446,0.00139610067859662,0.0182543481885869,0,0,0
"r2_026",0.123356171288423,0.0488525740096962,0.0013735464053973,0.0177690543158713,0.00208562625224597,0,0
"r2_025",0.130852271084397,0.0514397219671781,0.00155399866548977,0.0191043701917509,0.00229669777743802,4.36236696474084e-05,0
"r2_025",0.156943244377996,0.0521500437042221,0.00161675743790326,0.0194555946632696,0.00232278818114475,4.39568371806595e-05,0.00357899175286188
