"","(Intercept)","total_co2","pre_urea","phosphate","pre_creatinine","albumin","calcium"
"r2_056",7.0956052763379,-0.31040820920667,0,0,0,0,0
"r2_065",4.77018405595665,-0.267914807518738,0.0579080290269209,0,0,0,0
"r2_067",4.1582426761999,-0.258048963298312,0.0507891765443244,0.306014665139782,0,0,0
"r2_068",4.24269021578206,-0.2589185472535,0.0527694834425022,0.316111215574782,-0.000177736183482208,0,0
"r2_068",4.06647243193501,-0.258759994052411,0.052498559378515,0.317602767536012,-0.000192752918246993,0.0054266041802383,0
"r2_068",3.91687628528708,-0.259241688136298,0.0524093158585098,0.319867254758352,-0.000195771594154677,0.00475980469662606,0.081550380905702
