"","(Intercept)","calcium","phosphate","pre_urea","pre_creatinine","total_co2","albumin"
"r2_049",0.0907890230329712,0.0401508952969977,0,0,0,0,0
"r2_062",0.0819148396053722,0.0347341749831898,0.012058383938282,0,0,0,0
"r2_065",0.0804254009546119,0.0338286438377403,0.0125889983210347,0.000962812197799365,0,0,0
"r2_065",0.0826647276057182,0.0349394807612136,0.0132226589724809,0.00107194288663287,2.9597505788846e-05,0,0
"r2_067",0.0995767496433309,0.0347575226293101,0.0131551929866879,0.00109120419767365,2.91644826498186e-05,0.00241946476255549,0
"r2_067",0.106689925870335,0.0354515692535172,0.013225901889655,0.00109907076206968,2.98818322437871e-05,0.00243299650339656,0.00157903004898992
